,alpha,beta,loss
0,0,0,0.001837290467810817
1,0,1,0.001822175475617405
2,0,2,0.0020256521340925246
3,0,3,0.00293446085639298
4,0,4,0.006747803846001625
5,1,0,0.0017866442977217958
6,1,1,0.0016271372259478085
7,1,2,0.0016299536802165675
8,1,3,0.002256454734876752
9,1,4,0.007886595584452153
10,2,0,0.0019764108987757934
11,2,1,0.001640978084137896
12,2,2,0.001424123170071107
13,2,3,0.0017153617184259928
14,2,4,0.01743572689294815
15,3,0,0.0029993087228387593
16,3,1,0.002465698137274012
17,3,2,0.002066055364522617
18,3,3,0.004159051722846925
19,3,4,0.038592214345932005
20,4,0,0.008912527360022068
21,4,1,0.012169232979416847
22,4,2,0.02919968662261963
23,4,3,0.042572068548202516
24,4,4,0.05526857843399048
