,alpha,beta,loss
0,0,0,0.006054220997355878
1,0,1,0.005432270358223468
2,0,2,0.004920507516199723
3,0,3,0.004500420604634564
4,0,4,0.0041465916018118155
5,0,5,0.003848394277098123
6,0,6,0.0035960961979813874
7,0,7,0.003379407348058885
8,0,8,0.003193761735787848
9,0,9,0.00303473441147944
10,0,10,0.002898609262413811
11,0,11,0.002789698040150688
12,0,12,0.0027024994697392684
13,0,13,0.00263660183181637
14,0,14,0.0025903579281526617
15,0,15,0.002564090148417745
16,0,16,0.002559512157086283
17,0,17,0.0025736416017287413
18,0,18,0.0026082832168220194
19,0,19,0.002680047684611054
20,0,20,0.0028033476434633484
21,0,21,0.0030044588939403183
22,0,22,0.003293865667079808
23,0,23,0.003685263459687121
24,0,24,0.00419307744782418
25,0,25,0.004829192251933273
26,0,26,0.005612951645534486
27,0,27,0.006577027547033504
28,0,28,0.007753473083861172
29,0,29,0.009174664871022106
30,1,0,0.005861411376390607
31,1,1,0.005258539641648531
32,1,2,0.00475876357643865
33,1,3,0.0043443617554730736
34,1,4,0.003993557715549832
35,1,5,0.0036964615937729833
36,1,6,0.0034419402139203156
37,1,7,0.0032236990179721034
38,1,8,0.0030347874706989388
39,1,9,0.0028724534652224973
40,1,10,0.0027351056477142267
41,1,11,0.002624235298848362
42,1,12,0.0025373828460957155
43,1,13,0.0024712193994113475
44,1,14,0.0024241794814326566
45,1,15,0.0023980305613338715
46,1,16,0.002393310699937865
47,1,17,0.0024056091659003867
48,1,18,0.0024385211159358732
49,1,19,0.002502705086924834
50,1,20,0.0026110631637624466
51,1,21,0.0027858206843709922
52,1,22,0.003040230354203959
53,1,23,0.003389796725573251
54,1,24,0.0038447306263435167
55,1,25,0.004422336204547901
56,1,26,0.0051366558040957895
57,1,27,0.006019200456375256
58,1,28,0.00709751591924578
59,1,29,0.008403385366499424
60,2,0,0.005690868337824941
61,2,1,0.005103674511890859
62,2,2,0.004614918179460801
63,2,3,0.0042050839385017755
64,2,4,0.0038565334324433933
65,2,5,0.0035601634651597123
66,2,6,0.0033041058024798984
67,2,7,0.0030846125823794862
68,2,8,0.0028933779129583855
69,2,9,0.00272910312768654
70,2,10,0.002591167143351049
71,2,11,0.0024783342129579976
72,2,12,0.002390381949392031
73,2,13,0.002323467671227991
74,2,14,0.002277284335414879
75,2,15,0.0022512361816770863
76,2,16,0.002246425629858277
77,2,17,0.002258624812349444
78,2,18,0.002291540189753141
79,2,19,0.002350889511328569
80,2,20,0.0024486308827996253
81,2,21,0.002600464405634557
82,2,22,0.0028261423513962656
83,2,23,0.003138271367174457
84,2,24,0.003549667748453794
85,2,25,0.004074689539265819
86,2,26,0.00472814467290882
