,alpha,beta,loss,x,y
0,-1.25,-1.25,165.48418657226563,-63.23990249633789,-81.4063720703125
1,-1.25,-1.2,186.72235629882812,-64.23310852050781,-79.31980895996094
2,-1.25,-1.15,209.03062021484374,-65.21199798583984,-77.15116119384766
3,-1.25,-1.1,232.52464343261718,-66.17302703857422,-74.89984130859375
4,-1.25,-1.05,254.03384584960938,-67.11195373535156,-72.56539154052734
5,-1.25,-1.0,271.0219222167969,-68.02458953857422,-70.14860534667969
6,-1.25,-0.95,287.202366796875,-68.90658569335938,-67.65017700195312
7,-1.25,-0.9,303.1423503417969,-69.75357818603516,-65.07159423828125
8,-1.25,-0.85,317.58407392578124,-70.5606689453125,-62.41501235961914
9,-1.25,-0.8,327.44298723144533,-71.32322692871094,-59.68296813964844
10,-1.25,-0.75,331.57354658203127,-72.03671264648438,-56.879249572753906
11,-1.25,-0.7,331.4499229248047,-72.69692993164062,-54.00788116455078
12,-1.25,-0.65,326.5437196044922,-73.29911804199219,-51.07365798950195
13,-1.25,-0.6,320.0793130859375,-73.83906555175781,-48.082244873046875
14,-1.25,-0.55,309.5718457763672,-74.31336975097656,-45.03982162475586
15,-1.25,-0.5,289.1239772949219,-74.71843719482422,-41.95293426513672
16,-1.25,-0.45,257.6430246582031,-75.0509033203125,-38.829322814941406
17,-1.25,-0.4,226.07065524902345,-75.30912780761719,-35.67647171020508
18,-1.25,-0.35,196.15437868652344,-75.49034118652344,-32.50271987915039
19,-1.25,-0.3,168.5078571044922,-75.59353637695312,-29.316431045532227
20,-1.25,-0.25,143.7898708618164,-75.61808776855469,-26.126140594482422
21,-1.25,-0.2,122.11634450683594,-75.56391906738281,-22.940601348876953
22,-1.25,-0.15,104.87790985107422,-75.431396484375,-19.768260955810547
23,-1.25,-0.1,90.53802369384766,-75.22203063964844,-16.617496490478516
24,-1.25,-0.05,78.38033656616211,-74.93738555908203,-13.49646282196045
25,-1.25,0.0,68.05682031860351,-74.57957458496094,-10.412849426269531
26,-1.25,0.05,59.87629090576172,-74.15203857421875,-7.373864650726318
27,-1.25,0.1,53.32535512695313,-73.65754699707031,-4.386184215545654
28,-1.25,0.15,47.68529371032715,-73.1005859375,-1.4558485746383667
29,-1.25,0.2,42.96945310668945,-72.48414611816406,1.41162109375
30,-1.25,0.25,40.34160286407471,-71.81303405761719,4.21154260635376
31,-1.25,0.3,39.943271559143064,-71.0915756225586,6.939853668212891
32,-1.25,0.35,40.90557046508789,-70.32443237304688,9.593156814575195
33,-1.25,0.4,42.49722035217285,-69.51586151123047,12.168737411499023
34,-1.25,0.45,44.77705760498047,-68.67076110839844,14.664628982543945
35,-1.25,0.5,47.07094417724609,-67.7932357788086,17.079280853271484
36,-1.25,0.55,49.4976746887207,-66.88804626464844,19.4118709564209
37,-1.25,0.6,52.507929296875,-65.95927429199219,21.662212371826172
38,-1.25,0.65,56.08216361694336,-65.01063537597656,23.830142974853516
39,-1.25,0.7,60.01623121337891,-64.04631805419922,25.91661262512207
40,-1.25,0.75,64.71012231445313,-63.06976318359375,27.922351837158203
41,-1.25,0.8,69.82695608215332,-62.084285736083984,29.84869384765625
42,-1.25,0.85,75.652144921875,-61.09291076660156,31.697282791137695
43,-1.25,0.9,81.84492717285156,-60.09861755371094,33.46980285644531
44,-1.25,0.95,87.89913763427734,-59.10394287109375,35.168426513671875
45,-1.25,1.0,94.57575673217774,-58.11107635498047,36.7951774597168
46,-1.25,1.05,101.56053404541015,-57.12238693237305,38.35237121582031
47,-1.25,1.1,108.54273215332032,-56.13966751098633,39.84229278564453
48,-1.25,1.15,116.13492449951171,-55.16461181640625,41.26740264892578
49,-1.25,1.2,124.3014059387207,-54.198570251464844,42.63011932373047
50,-1.2,-1.25,148.0066993774414,-61.78388214111328,-82.42181396484375
51,-1.2,-1.2,172.06436384277345,-62.794498443603516,-80.32357788085938
52,-1.2,-1.15,194.8563784423828,-63.79230499267578,-78.13921356201172
53,-1.2,-1.1,218.86943315429687,-64.77324676513672,-75.86833190917969
54,-1.2,-1.05,242.84925930175783,-65.73304748535156,-73.51028442382812
55,-1.2,-1.0,261.1653408203125,-66.66728973388672,-71.06512451171875
56,-1.2,-0.95,277.50662316894534,-67.5716552734375,-68.53394317626953
57,-1.2,-0.9,293.75391740722654,-68.44112396240234,-65.91764068603516
58,-1.2,-0.85,309.87084514160154,-69.27076721191406,-63.21857833862305
59,-1.2,-0.8,319.8655310058594,-70.05592346191406,-60.439395904541016
60,-1.2,-0.75,324.35796564941404,-70.79144287109375,-57.583641052246094
61,-1.2,-0.7,324.3156210693359,-71.47257995605469,-54.655635833740234
62,-1.2,-0.65,319.4001640136719,-72.09458923339844,-51.660362243652344
63,-1.2,-0.6,311.8589919189453,-72.65312194824219,-48.603721618652344
64,-1.2,-0.55,301.39206918945314,-73.1439208984375,-45.49222183227539
65,-1.2,-0.5,277.3967548339844,-73.56339263916016,-42.33311462402344
66,-1.2,-0.45,244.13830029296875,-73.9080810546875,-39.134246826171875
67,-1.2,-0.4,211.06528190917967,-74.17574310302734,-35.904083251953125
68,-1.2,-0.35,180.6212409057617,-74.36369323730469,-32.651145935058594
69,-1.2,-0.3,152.6450124267578,-74.47108459472656,-29.3846435546875
70,-1.2,-0.25,127.86774490966796,-74.49676513671875,-26.113834381103516
71,-1.2,-0.2,107.4932225341797,-74.44064331054688,-22.847957611083984
72,-1.2,-0.15,91.32721450805664,-74.30332946777344,-19.59640121459961
73,-1.2,-0.1,77.74079452514648,-74.08628845214844,-16.36796760559082
74,-1.2,-0.05,66.2282638305664,-73.79154968261719,-13.171460151672363
75,-1.2,0.0,57.00032533569336,-73.42124938964844,-10.015144348144531
76,-1.2,0.05,49.80668318481445,-72.97904968261719,-6.906700134277344
77,-1.2,0.1,43.91607197875977,-72.46795654296875,-3.8532445430755615
78,-1.2,0.15,39.449421029663085,-71.89256286621094,-0.8612469434738159
79,-1.2,0.2,36.0826516204834,-71.25666809082031,2.0636587142944336
80,-1.2,0.25,34.93155088043213,-70.56521606445312,4.916482925415039
81,-1.2,0.3,35.92146678466797,-69.82252502441406,7.692983627319336
82,-1.2,0.35,37.324207775878904,-69.03376007080078,10.389830589294434
83,-1.2,0.4,39.29324030151367,-68.20365905761719,13.00419807434082
84,-1.2,0.45,41.76825991210937,-67.3372802734375,15.53421688079834
85,-1.2,0.5,44.22051538696289,-66.43907165527344,17.978551864624023
86,-1.2,0.55,47.147425805664064,-65.51347351074219,20.336400985717773
87,-1.2,0.6,50.6484718170166,-64.56513214111328,22.607627868652344
88,-1.2,0.65,54.43147221069336,-63.598236083984375,24.792665481567383
89,-1.2,0.7,59.073772106933596,-62.616539001464844,26.89238739013672
90,-1.2,0.75,64.3335074066162,-61.624000549316406,28.907936096191406
91,-1.2,0.8,70.14857069091796,-60.62388229370117,30.840927124023438
92,-1.2,0.85,76.40790967407227,-59.61914825439453,32.693016052246094
93,-1.2,0.9,82.53697120361328,-58.61296081542969,34.4664306640625
94,-1.2,0.95,89.3991402770996,-57.6077995300293,36.16351318359375
95,-1.2,1.0,96.35244825439453,-56.606056213378906,37.786537170410156
96,-1.2,1.05,103.49063716430663,-55.60975646972656,39.33794021606445
97,-1.2,1.1,111.3186278503418,-54.620765686035156,40.820316314697266
98,-1.2,1.15,119.71743612060547,-53.640830993652344,42.236419677734375
99,-1.2,1.2,128.91173165893554,-52.671295166015625,43.588783264160156
100,-1.15,-1.25,130.58728662109374,-60.246482849121094,-83.45381927490234
101,-1.15,-1.2,153.92819296875,-61.27349090576172,-81.34513854980469
102,-1.15,-1.15,180.0439218383789,-62.288822174072266,-79.14655303955078
103,-1.15,-1.1,204.14267119140624,-63.28845977783203,-76.85719299316406
104,-1.15,-1.05,228.18506193847657,-64.26818084716797,-74.47627258300781
105,-1.15,-1.0,250.40256555175782,-65.22348022460938,-72.00370025634766
106,-1.15,-0.95,267.28557719726564,-66.14934539794922,-69.43998718261719
107,-1.15,-0.9,283.83090844726564,-67.04080963134766,-66.78650665283203
108,-1.15,-0.85,301.64610100097656,-67.89292907714844,-64.04486083984375
109,-1.15,-0.8,311.7871049560547,-68.70002746582031,-61.21815490722656
110,-1.15,-0.75,316.7976030029297,-69.45740509033203,-58.30967712402344
111,-1.15,-0.7,316.8670791503906,-70.15960693359375,-55.32408905029297
112,-1.15,-0.65,311.9358098876953,-70.8013916015625,-52.266456604003906
113,-1.15,-0.6,303.09148608398436,-71.37849426269531,-49.14299011230469
114,-1.15,-0.55,292.18570778808595,-71.8861083984375,-45.960628509521484
115,-1.15,-0.5,264.95550234375,-72.32022857666016,-42.72700881958008
116,-1.15,-0.45,229.69681721191407,-72.67745971679688,-39.450477600097656
117,-1.15,-0.4,195.5480135498047,-72.95468139648438,-36.14020538330078
118,-1.15,-0.35,164.2461086669922,-73.14987182617188,-32.805274963378906
119,-1.15,-0.3,136.14695102539062,-73.26106262207031,-29.455718994140625
120,-1.15,-0.25,111.89028125,-73.28767395019531,-26.10137939453125
121,-1.15,-0.2,93.28496893310547,-73.22999572753906,-22.752300262451172
122,-1.15,-0.15,78.11469998168945,-73.08776092529297,-19.418537139892578
123,-1.15,-0.1,65.29001688232422,-72.86328887939453,-16.109758377075195
124,-1.15,-0.05,54.54463748779297,-72.55812072753906,-12.83529281616211
125,-1.15,0.0,46.66227493896484,-72.17533874511719,-9.603940963745117
126,-1.15,0.05,40.07428859863281,-71.7182846069336,-6.42402458190918
127,-1.15,0.1,35.06375594177246,-71.19056701660156,-3.303084373474121
128,-1.15,0.15,32.1708253829956,-70.59681701660156,-0.24791264533996582
129,-1.15,0.2,30.42624654998779,-69.94149017333984,2.735473871231079
130,-1.15,0.25,31.002682986450196,-69.22967529296875,5.641918659210205
131,-1.15,0.3,32.38866720123291,-68.46611022949219,8.467142105102539
132,-1.15,0.35,34.098869911193844,-67.65634155273438,11.207585334777832
133,-1.15,0.4,36.33011030883789,-66.80516815185547,13.860685348510742
134,-1.15,0.45,38.84293496398926,-65.91789245605469,16.42446517944336
135,-1.15,0.5,41.787362614440916,-64.99945068359375,18.897663116455078
136,-1.15,0.55,45.202367794799805,-64.05469512939453,21.27993392944336
137,-1.15,0.6,48.8238448425293,-63.087955474853516,23.57118797302246
138,-1.15,0.65,53.34886590881348,-62.103843688964844,25.772289276123047
139,-1.15,0.7,58.631749060058596,-61.10615539550781,27.88390350341797
140,-1.15,0.75,64.43928330688476,-60.099117279052734,29.90798568725586
141,-1.15,0.8,70.77860706176757,-59.08564758300781,31.846080780029297
142,-1.15,0.85,76.93834963989258,-58.069358825683594,33.700382232666016
143,-1.15,0.9,83.86334579467774,-57.05297088623047,35.473262786865234
144,-1.15,0.95,90.83206267089844,-56.03910827636719,37.167327880859375
145,-1.15,1.0,98.15055357055664,-55.03007507324219,38.785057067871094
146,-1.15,1.05,106.20692557373047,-54.028167724609375,40.329261779785156
147,-1.15,1.1,114.88670193481445,-53.03471755981445,41.802734375
148,-1.15,1.15,124.36702943115235,-52.051692962646484,43.20854949951172
149,-1.15,1.2,134.7494115966797,-51.080482482910156,44.54925537109375
150,-1.1,-1.25,113.19499493408203,-58.62382507324219,-84.50050354003906
151,-1.1,-1.2,135.57692493896485,-59.6652717590332,-82.38289642333984
152,-1.1,-1.15,160.79604975585937,-60.69645690917969,-80.17155456542969
153,-1.1,-1.1,188.1833774658203,-61.71348571777344,-77.86495208740234
154,-1.1,-1.05,212.66767609863282,-62.712127685546875,-75.46239471435547
155,-1.1,-1.0,237.20391508789064,-63.68706130981445,-72.96315002441406
156,-1.1,-0.95,256.57172607421876,-64.63355255126953,-70.36775207519531
157,-1.1,-0.9,273.3373290771484,-65.54644775390625,-67.67742919921875
158,-1.1,-0.85,292.3822443359375,-66.42010498046875,-64.89344787597656
159,-1.1,-0.8,303.586840234375,-67.24913024902344,-62.01899719238281
160,-1.1,-0.75,308.9336260986328,-68.02779388427734,-59.05751037597656
161,-1.1,-0.7,309.14731333007813,-68.75067138671875,-56.01329040527344
162,-1.1,-0.65,304.0166632080078,-69.41261291503906,-52.892295837402344
163,-1.1,-0.6,294.13381345214844,-70.00801086425781,-49.70038986206055
