,alpha,beta,loss
0,0,0,0.45801499485969543
1,0,1,0.4232882261276245
2,0,2,0.3910667896270752
3,0,3,0.36114054918289185
4,0,4,0.3332279324531555
5,0,5,0.30717289447784424
6,0,6,0.28306788206100464
7,0,7,0.26072999835014343
8,0,8,0.24018320441246033
9,0,9,0.22123225033283234
10,0,10,0.20375598967075348
11,0,11,0.18758796155452728
12,0,12,0.17267055809497833
13,0,13,0.15888063609600067
14,0,14,0.14621618390083313
15,0,15,0.1346491277217865
16,0,16,0.12404020130634308
17,0,17,0.11442478001117706
18,0,18,0.10560905933380127
19,0,19,0.09757119417190552
20,0,20,0.09013552218675613
21,0,21,0.08326753973960876
22,0,22,0.07700204104185104
23,0,23,0.07134599983692169
24,0,24,0.06625925749540329
25,0,25,0.061738014221191406
26,0,26,0.057627540081739426
27,0,27,0.054004136472940445
28,0,28,0.05088197812438011
29,0,29,0.048176150768995285
30,0,30,0.045847225934267044
31,0,31,0.04393797740340233
32,0,32,0.042317457497119904
33,0,33,0.040978968143463135
34,0,34,0.03989389166235924
35,0,35,0.03899630904197693
36,0,36,0.038285788148641586
37,0,37,0.037914954125881195
38,0,38,0.03778224438428879
39,0,39,0.037975843995809555
40,0,40,0.038499053567647934
41,0,41,0.03936874493956566
42,0,42,0.040574558079242706
43,0,43,0.04221147298812866
44,0,44,0.0443359799683094
45,0,45,0.04696943238377571
46,0,46,0.0498688668012619
47,0,47,0.052631884813308716
48,0,48,0.05490781366825104
49,0,49,0.056461870670318604
50,1,0,0.4270334839820862
51,1,1,0.39393433928489685
52,1,2,0.36328813433647156
53,1,3,0.3349211812019348
54,1,4,0.3085891306400299
55,1,5,0.28404873609542847
56,1,6,0.26126375794410706
57,1,7,0.2402425855398178
58,1,8,0.2207663357257843
59,1,9,0.2028934508562088
60,1,10,0.18647873401641846
61,1,11,0.1713929921388626
62,1,12,0.157415971159935
63,1,13,0.14452314376831055
64,1,14,0.13273288309574127
65,1,15,0.1219506487250328
66,1,16,0.11209473758935928
67,1,17,0.10312117636203766
68,1,18,0.09494432806968689
69,1,19,0.08750613033771515
70,1,20,0.08067131787538528
71,1,21,0.07435315102338791
72,1,22,0.06858066469430923
73,1,23,0.06336534023284912
74,1,24,0.05866754800081253
75,1,25,0.05448048189282417
76,1,26,0.05075017735362053
77,1,27,0.04741199314594269
78,1,28,0.04455707594752312
79,1,29,0.042083267122507095
80,1,30,0.039966877549886703
81,1,31,0.03823051601648331
82,1,32,0.036767423152923584
83,1,33,0.03556833043694496
84,1,34,0.03458651527762413
85,1,35,0.033788252621889114
86,1,36,0.03316545486450195
87,1,37,0.03284325450658798
88,1,38,0.03274326026439667
89,1,39,0.03296293318271637
90,1,40,0.033474355936050415
91,1,41,0.034306351095438004
92,1,42,0.035460375249385834
93,1,43,0.03702966496348381
94,1,44,0.039072129875421524
95,1,45,0.04156623035669327
96,1,46,0.04421421140432358
97,1,47,0.04663034528493881
98,1,48,0.04856486618518829
99,1,49,0.04976432025432587
100,2,0,0.3979130983352661
101,2,1,0.3664909303188324
102,2,2,0.33733996748924255
103,2,3,0.310410737991333
104,2,4,0.28548675775527954
105,2,5,0.26236847043037415
106,2,6,0.24091486632823944
107,2,7,0.22110305726528168
108,2,8,0.20279669761657715
109,2,9,0.1859194040298462
110,2,10,0.17047244310379028
111,2,11,0.15636742115020752
112,2,12,0.1433439403772354
113,2,13,0.1313076913356781
114,2,14,0.12029777467250824
115,2,15,0.11028946191072464
116,2,16,0.10114070773124695
117,2,17,0.09280175715684891
118,2,18,0.08522839099168777
119,2,19,0.07832523435354233
120,2,20,0.07203309237957001
121,2,21,0.06623761355876923
122,2,22,0.06094833463430405
123,2,23,0.05614449456334114
124,2,24,0.05182858183979988
125,2,25,0.04797329008579254
126,2,26,0.04456739127635956
127,2,27,0.04151853173971176
128,2,28,0.03890099376440048
129,2,29,0.036643851548433304
130,2,30,0.034729380160570145
131,2,31,0.03315551578998566
132,2,32,0.031837888062000275
133,2,33,0.030769702047109604
134,2,34,0.029883278533816338
135,2,35,0.029170574620366096
136,2,36,0.028628814965486526
137,2,37,0.028351321816444397
138,2,38,0.02829049341380596
139,2,39,0.0285267923027277
140,2,40,0.02902998961508274
141,2,41,0.02983023412525654
142,2,42,0.030942438170313835
143,2,43,0.032453831285238266
144,2,44,0.03443809971213341
145,2,45,0.03678792342543602
146,2,46,0.03918911889195442
147,2,47,0.041323427110910416
148,2,48,0.04296621307730675
149,2,49,0.043939489871263504
150,3,0,0.3706386685371399
151,3,1,0.3407438397407532
152,3,2,0.31306418776512146
153,3,3,0.2874961495399475
154,3,4,0.26391229033470154
155,3,5,0.24209904670715332
156,3,6,0.22190497815608978
157,3,7,0.20326417684555054
158,3,8,0.18608492612838745
159,3,9,0.17022238671779633
160,3,10,0.15569841861724854
161,3,11,0.14244608581066132
162,3,12,0.13033156096935272
163,3,13,0.11915551871061325
164,3,14,0.10889691114425659
165,3,15,0.09959124773740768
166,3,16,0.09111716598272324
167,3,17,0.08338811993598938
168,3,18,0.07638049125671387
169,3,19,0.06998958438634872
170,3,20,0.06418476998806
171,3,21,0.05886910483241081
172,3,22,0.054035015404224396
173,3,23,0.04962902516126633
174,3,24,0.04567243158817291
175,3,25,0.042145974934101105
176,3,26,0.039029642939567566
177,3,27,0.036259353160858154
178,3,28,0.03386501967906952
179,3,29,0.03180406615138054
180,3,30,0.030076049268245697
181,3,31,0.02865804359316826
182,3,32,0.02747310698032379
183,3,33,0.02651987597346306
184,3,34,0.0257281344383955
185,3,35,0.02509281225502491
186,3,36,0.024622946977615356
187,3,37,0.024389058351516724
188,3,38,0.024369927123188972
189,3,39,0.02461574785411358
190,3,40,0.025114186108112335
191,3,41,0.02589006908237934
192,3,42,0.02697092853486538
193,3,43,0.028454309329390526
194,3,44,0.030388766899704933
195,3,45,0.03259838744997978
196,3,46,0.03478197753429413
197,3,47,0.03668471425771713
198,3,48,0.03810187801718712
199,3,49,0.03900549188256264
200,4,0,0.34511956572532654
201,4,1,0.31667083501815796
202,4,2,0.29039669036865234
203,4,3,0.26609742641448975
204,4,4,0.24377349019050598
205,4,5,0.22317256033420563
206,4,6,0.20418472588062286
207,4,7,0.18665491044521332
208,4,8,0.17056012153625488
209,4,9,0.15570983290672302
210,4,10,0.14210094511508942
211,4,11,0.12963929772377014
212,4,12,0.11832801252603531
213,4,13,0.10796212404966354
214,4,14,0.09845807403326035
215,4,15,0.08978873491287231
216,4,16,0.08194821327924728
217,4,17,0.07480916380882263
218,4,18,0.06831791251897812
219,4,19,0.062426306307315826
220,4,20,0.057070042937994
221,4,21,0.0522078201174736
222,4,22,0.047779593616724014
223,4,23,0.04376460984349251
224,4,24,0.04014566168189049
225,4,25,0.036927592009305954
226,4,26,0.03409044072031975
227,4,27,0.03157290816307068
228,4,28,0.029394827783107758
229,4,29,0.027517126873135567
230,4,30,0.0259575005620718
231,4,31,0.02468111179769039
232,4,32,0.023618830367922783
233,4,33,0.02276984602212906
234,4,34,0.022067205980420113
235,4,35,0.02150518260896206
236,4,36,0.02110140398144722
237,4,37,0.02091054618358612
238,4,38,0.020930679515004158
239,4,39,0.021185338497161865
240,4,40,0.021681638434529305
241,4,41,0.022440269589424133
242,4,42,0.023512765765190125
