,alpha,beta,loss
0,0,0,0.0026256177382776515
1,0,1,0.002589783241203986
2,0,2,0.0025824737991439178
3,0,3,0.002613987746741623
4,0,4,0.002710459825769067
5,0,5,0.0029078554650768637
6,0,6,0.003277840367052704
7,0,7,0.003993986213579774
8,0,8,0.0054203084718436
9,0,9,0.008321038682386279
10,1,0,0.0025092438897816463
11,1,1,0.0024402546228840948
12,1,2,0.0023976336142979564
13,1,3,0.002389394220057875
14,1,4,0.002437149903923273
15,1,5,0.0025803976342547684
16,1,6,0.00289469806374982
17,1,7,0.003585799445863813
18,1,8,0.005165110589750111
19,1,9,0.00881687118075788
20,2,0,0.0024143702058587223
21,2,1,0.002307658852171153
22,2,2,0.002224525916215498
23,2,3,0.0021744345896178856
24,2,4,0.0021705537545261906
25,2,5,0.0022540027842624113
26,2,6,0.0025009521276922898
27,2,7,0.0031538595251040533
28,2,8,0.00495295838736929
29,2,9,0.009841095273196697
30,3,0,0.002352068269252777
31,3,1,0.0022035866710240952
32,3,2,0.0020753596790716983
33,3,3,0.0019771082704945
34,3,4,0.0019227907420077827
35,3,5,0.0019456556586315856
36,3,6,0.0021259963423304724
37,3,7,0.002749292363796849
38,3,8,0.004953338068164885
39,3,9,0.01222234123647213
40,4,0,0.002340326817682944
41,4,1,0.002146089035004843
42,4,2,0.001967515053722309
43,4,3,0.0018150298493623267
44,4,4,0.0017060626216436503
45,4,5,0.0016757743912326987
46,4,6,0.001818479670988745
47,4,7,0.002512498127529398
48,4,8,0.005778034818172455
49,4,9,0.01868788189291954
50,5,0,0.002402562661957927
51,5,1,0.0021597681176266635
52,5,2,0.0019289813424169552
53,5,3,0.0017191090345120756
54,5,4,0.0015530923299389543
55,5,5,0.0014907622172642733
56,5,6,0.001681094448408112
57,5,7,0.0028608734622597694
58,5,8,0.010427567574381829
59,5,9,0.03777856401205063
60,6,0,0.0026019629531074317
61,6,1,0.00230007087145932
62,6,2,0.0020093001475092022
63,6,3,0.0017450029583531432
64,6,4,0.001547238594686496
65,6,5,0.0015188095352146774
66,6,6,0.0020701795311877506
67,6,7,0.006193513663485646
68,6,8,0.03314493198394775
69,6,9,0.04092252995967865
70,7,0,0.003069531675428152
71,7,1,0.0027228001283016055
72,7,2,0.00238459595432505
73,7,3,0.0020926716440357266
74,7,4,0.0019544136276701467
75,7,5,0.0023548220075666902
76,7,6,0.006153982361406088
77,7,7,0.029152737843990327
78,7,8,0.04131031513214111
79,7,9,0.03659455296993255
80,8,0,0.004102902527526021
81,8,1,0.003802590382657945
82,8,2,0.0035638285478577017
83,8,3,0.0035574527870863674
84,8,4,0.004465713985264301
85,8,5,0.00976628416478634
86,8,6,0.02920093789100647
87,8,7,0.03927949688434601
88,8,8,0.0369122772693634
89,8,9,0.045615949082374575
90,9,0,0.00647641679495573
91,9,1,0.006741763170063496
92,9,2,0.007639863684773445
93,9,3,0.010367644673585892
94,9,4,0.018149523854255677
95,9,5,0.03269598160982132
96,9,6,0.03712210924625397
97,9,7,0.037098560070991514
98,9,8,0.04530024492740631
99,9,9,0.06842253627777099
