,alpha,beta,loss
0,0,0,0.0024917511562351138
1,0,1,0.0024607147659407927
2,0,2,0.002458213375887135
3,0,3,0.0024990591676323673
4,0,4,0.0026059131092391907
5,0,5,0.0028124379530432633
6,0,6,0.003175417772703804
7,0,7,0.003807959728874266
8,0,8,0.004926986726000905
9,0,9,0.006991175789758563
10,1,0,0.0023659979348885827
11,1,1,0.0023076642389583866
12,1,2,0.0022742802047985605
13,1,3,0.0022805885123147163
14,1,4,0.0023474663618661
15,1,5,0.0025087115894537417
16,1,6,0.002824677431199234
17,1,7,0.0034209661633707584
18,1,8,0.004550512583833188
19,1,9,0.006817404574900866
20,2,0,0.0022577812288422138
21,2,1,0.0021693778379412833
22,2,2,0.0021047639379510657
23,2,3,0.0020753058032656553
24,2,4,0.0021002741463977143
25,2,5,0.0022134268628724385
26,2,6,0.0024765027523564642
27,2,7,0.0030281091321026905
28,2,8,0.004177775340434163
29,2,9,0.006747129667550325
30,3,0,0.002174089976644609
31,3,1,0.0020543057349685116
32,3,2,0.0019550409442279488
33,3,3,0.0018880694405612303
34,3,4,0.001870753635597066
35,3,5,0.0019350176881795052
36,3,6,0.0021436775746988134
37,3,7,0.0026459228438558057
38,3,8,0.003838693144498393
39,3,9,0.006922931149229408
40,4,0,0.002128215150878532
41,4,1,0.001975010853103595
42,4,2,0.00183896423537808
43,4,3,0.001732003419128887
44,4,4,0.001671092522064282
45,4,5,0.0016868900064800983
46,4,6,0.0018424573327822146
47,4,7,0.002300498191441875
48,4,8,0.0036027108472771944
49,4,9,0.007797504121810198
50,5,0,0.002135254228487611
51,5,1,0.0019478834325331264
52,5,2,0.0017736716952116694
53,5,3,0.0016254716835785075
54,5,4,0.0015212291930714855
55,5,5,0.0014907622172642733
56,5,6,0.0016005019293166697
57,5,7,0.002053955553425476
58,5,8,0.0036930336907505987
59,5,9,0.010738768601417542
60,6,0,0.002230932886363007
61,6,1,0.0020081163685186764
62,6,2,0.0017970905512804166
63,6,3,0.0016103319624671713
64,6,4,0.0014664178746083053
65,6,5,0.0013978013506042771
66,6,6,0.0014930218839785084
67,6,7,0.0020854138126363978
68,6,8,0.005008121003210545
69,6,9,0.018202963256835937
70,7,0,0.0024845887027680875
71,7,1,0.002237923932285048
72,7,2,0.0020000866812537425
73,7,3,0.0017881778056384064
74,7,4,0.0016279873331659473
75,7,5,0.001566832953633275
76,7,6,0.0017931059695081785
77,7,7,0.0032832131838425992
78,7,8,0.011252137964963913
79,7,9,0.031210391175746918
80,8,0,0.0030519079284742475
81,8,1,0.0028074056088924406
82,8,2,0.002596969415387139
83,8,3,0.0024371051768306644
84,8,4,0.0023937893596477806
85,8,5,0.0026678307860158383
86,8,6,0.00413939890936017
87,8,7,0.010876605448126794
88,8,8,0.0315998471736908
89,8,9,0.037942360758781435
90,9,0,0.004256344965659082
91,9,1,0.004173668816126883
92,9,2,0.004215145572274924
93,9,3,0.00455039436146617
94,9,4,0.005562586157768965
95,9,5,0.008370967064797879
96,9,6,0.01737817916870117
97,9,7,0.0357213653087616
98,9,8,0.03926951982975006
99,9,9,0.03850758502483368
