,vec1,vec2
0,-0.33965844,-0.06249979
1,-0.5669534,-0.049845755
2,-0.002629593,-0.32365575
3,-0.87104255,-0.36788765
4,-0.2520085,-0.5472365
5,0.37496695,-0.0028563738
6,0.09394041,-0.09621611
7,-0.83894145,-0.55899125
8,-0.20755965,-0.4841872
9,-0.22586265,-0.38526917
10,-0.47571817,0.07203017
11,-0.2697663,-0.07315859
12,-0.36095852,-0.33633012
13,-0.268339,-0.33111092
14,-0.75944674,-0.7221488
15,0.016320273,0.28904885
16,-0.31292322,-0.643859
17,-0.19599913,-0.51001096
18,-0.69442725,-0.3304977
19,-0.41546825,-0.63030756
20,0.52548534,0.24359077
21,0.26795775,0.32170612
22,-0.32002464,-0.13640648
23,-0.098398045,0.04263629
24,0.08215654,-0.23546177
25,-0.51331407,-0.11107212
26,-0.36356133,-0.20372945
27,-0.6001956,-0.86332893
28,0.08635588,-0.30568847
29,-0.37456062,-0.51320195
30,-0.67396605,-0.77697134
31,-0.2825734,-0.22221828
32,-0.8633039,-0.35546574
33,0.6050794,0.52867955
34,0.09944731,0.47212002
35,0.23191026,0.14810418
36,-0.5715854,-0.565462
37,-0.028456032,0.1526412
38,0.6305995,0.88461506
39,-0.9004306,-0.8603627
40,0.5895493,0.21025445
41,0.11259414,0.031202808
42,-0.8935615,-0.34473792
43,-0.5220466,-0.43776122
44,-0.12526488,0.007236447
45,-0.15268482,0.008082908
46,-0.13797134,-0.061154567
47,0.17203526,0.049677894
48,-0.5254903,-0.81141114
49,-1.0924941,-1.1148562
50,-0.19246843,-0.72890866
51,0.25762707,-0.091701776
52,0.21352416,-0.07223495
53,-0.6081016,-0.46345344
54,0.22490907,-0.30998424
55,0.47215936,0.4712386
56,-0.034404002,-0.1576015
57,-0.6097222,-0.6313249
58,-0.45886007,-0.070801646
59,-0.18818462,-0.5248658
60,-0.07071853,-7.6293945e-05
61,-0.8981693,-0.7155565
62,-0.35012037,-0.22741394
63,-0.76182824,-0.76330876
64,-0.3230093,0.070283666
65,-0.24640568,0.0026982278
66,0.36495134,0.5133035
67,-0.40733576,-0.46906087
68,-0.10892627,-0.33168197
69,0.8853588,0.36085695
70,-0.04484251,0.029940218
71,-0.52696335,-0.8358576
72,0.15907453,0.38825077
73,-0.20056047,-0.04933466
74,-0.069404304,0.3068334
75,0.226542,-0.167052
76,-0.31155327,-0.33127216
77,0.23783982,-0.08554771
78,-0.19694045,0.19274867
79,-0.09610144,-0.28606525
80,-0.14543498,-0.019807331
81,-0.110697635,-0.18823777
82,-0.16473919,-0.2164419
83,0.097585335,-0.02064047
84,0.13052809,0.13202924
85,-0.15785652,-0.09189657
86,0.2061069,0.21358734
87,0.3834568,0.5063699
88,0.055881593,-0.060519155
89,-0.031689055,-0.094678804
90,-0.0310079,-0.048076898
91,0.018677732,0.07519069
92,0.16226332,-0.039708234
93,-0.12150995,-0.28169566
94,-0.26614177,-0.28839606
95,0.43157196,0.25115466
96,0.19940875,0.35379285
97,-0.057161417,-0.05728222
98,-0.23497495,-0.21383229
99,-0.15426795,-0.25132608
100,-0.124095045,-0.093686216
101,-0.09114445,-0.0194411
102,0.021711,-0.01807154
103,-0.07378756,-0.02004876
104,0.25895792,0.4035663
105,0.3358848,0.16887268
106,0.15136197,0.026381299
107,-0.1961425,-0.31943452
108,-0.25063843,-0.33987528
109,-0.20516297,-0.03732975
110,-0.17819592,-0.26346073
111,-0.24078467,-0.44933614
112,-0.15658379,-0.16359368
113,0.20913994,0.24141148
114,0.18129316,0.10259292
115,-0.0013289824,0.06676016
116,-0.086453356,-0.2422466
117,-0.26824415,-0.2415992
118,-0.06877542,-0.099147014
119,0.20589247,0.21990669
120,-0.020865299,0.18476842
121,0.028631642,0.090940766
122,-0.027525451,0.005268257
123,0.14540112,0.10677194
124,0.2567376,0.36179212
125,-0.117740236,-0.14038149
126,-0.24207634,-0.4187526
127,-0.3366047,-0.34955978
128,-0.28762972,-0.07678508
129,-0.104939535,-0.2089663
130,-0.43760157,-0.3609711
131,0.20096588,0.32381248
132,0.2779492,0.25634733
133,0.122426145,0.07628736
134,-0.3734438,-0.3830283
135,-0.28873152,-0.3205981
136,-0.14851186,-0.1343795
137,0.06704926,0.02427425
138,0.09648506,0.06888609
139,-0.35155684,-0.14681184
140,0.19914412,0.18965274
141,0.07674214,0.16493377
142,0.2562918,0.12267612
143,-0.2833444,-0.16133216
144,-0.012528807,-0.19878818
